Longitude,Latitude,Community,IncorporationType,AreaType,Population,Source,Year
-160.4373192,66.9742028200001,Kiana,2nd Class City,Community,372,DCCED Commissioner Certified,2011
-151.2237875,59.5976979500001,Halibut Cove,CDP,Place of Interest,76,DOLWD Estimate,2011
-162.0294973,60.2189059200001,Eek,2nd Class City,Community,318,DCCED Commissioner Certified,2011
-151.4022394,60.2264313800001,Clam Gulch,CDP,Community,176,DOLWD Estimate,2011
-159.2420218,61.57491472,Chuathbaluk,2nd Class City,Community,135,DCCED Commissioner Certified,2011
-152.6494805,66.56004842,Allakaket,2nd Class City,Community,103,DCCED Commissioner Certified,2011
-157.5773328,57.5642993500001,Pilot Point,2nd Class City,Community,88,DCCED Commissioner Certified,2011
-158.621625,59.2792073700001,Aleknagik,2nd Class City,Community,227,DCCED Commissioner Certified,2011
-130.0255142,55.9157523000001,Hyder,Unincorporated CDP,Community,87,DOLWD Estimate,2011
-136.0314547,59.44650625,Mosquito Lake,CDP,Place of Interest,309,DOLWD Estimate,2011
-164.5071352,60.8188798400001,Mertarvik,Unincorporated CDP,Place of Interest,0,DOLWD Estimate,2011
-152.5039855,57.9232638,Ouzinkie,2nd Class City,Community,178,DCCED Commissioner Certified,2011
-149.8014267,61.6312394,Houston,2nd Class City,Community,1945,DCCED Commissioner Certified,2011
-164.0379401,59.9363864000001,Kipnuk,Unincorporated CDP,Community,639,DOLWD Estimate,2011
-149.0354355,61.54162777,Butte,CDP,Community,3246,DOLWD Estimate,2011
-150.7679026,62.4964964500001,Petersville,CDP,Community,4,DOLWD Estimate,2011
-151.919921,59.3544344900001,Nanwalek,CDP,Community,254,DOLWD Estimate,2011
-157.7027018,64.8817887800001,Koyukuk,2nd Class City,Community,97,DCCED Commissioner Certified,2011
-159.1433925,55.91158561,Perryville,CDP,Community,113,DOLWD Estimate,2011
-143.7975818,62.92939878,Mentasta Lake,Unincorporated CDP,Community,112,DOLWD Estimate,2011
-133.3478063,57.46425365,Hobart Bay,CDP,Place of Interest,1,DOLWD Estimate,2011
-135.3116911,59.45573152,Skagway,1st Class Borough,Community,965,DCCED Commissioner Certified,2011
-151.3195796,60.36911853,Cohoe,CDP,Community,1364,DOLWD Estimate,2011
-158.7630842,56.25373123,Chignik Lake,CDP,Community,73,DOLWD Estimate,2011
-132.4039292,55.5396225600001,Kasaan,2nd Class City,Community,66,DCCED Commissioner Certified,2011
-149.0459984,61.6283302300001,Lazy Mountain,CDP,Community,1479,DOLWD Estimate,2011
-162.8870639,59.9594387400001,Kongiganak,Unincorporated CDP,Community,439,DOLWD Estimate,2011
-144.0588808,63.65794205,Dot Lake,Unincorporated CDP,Community,13,DOLWD Estimate,2011
-160.1993288,62.65252995,Anvik,2nd Class City,Community,79,DCCED Commissioner Certified,2011
-168.9517919,65.7583525100001,Diomede,2nd Class City,Community,107,DCCED Commissioner Certified,2011
-145.8345557,64.1472131900001,Big Delta,Unincorporated CDP,Place of Interest,591,DOLWD Estimate,2011
-152.2228178,57.61797554,Chiniak,CDP,Place of Interest,47,DOLWD Estimate,2011
-146.5383,62.0494,Mendeltna,Unincorporated CDP,Community,39,DOLWD Estimate,2011
-133.1510826,55.4760442100001,Craig,1st Class City,Community,1240,DCCED Commissioner Certified,2011
-147.1680556,61.9386111000001,Eureka Roadhouse,CDP,Place of Interest,29,DOLWD Estimate,2011
-148.0123404,60.0655963200001,Chenega,Unincorporated CDP,Community,76,DOLWD Estimate,2011
-158.5479769,58.8345343,Clark's Point,2nd Class City,Community,60,DCCED Commissioner Certified,2011
-162.457405,60.8972172800001,Nunapitchuk,2nd Class City,Community,518,DCCED Commissioner Certified,2011
-149.1907816,64.34335795,Anderson,2nd Class City,Community,242,DCCED Commissioner Certified,2011
-160.0657281,62.9064389100001,Grayling,2nd Class City,Community,189,DCCED Commissioner Certified,2011
-161.7717709,60.7911992000001,Bethel,2nd Class City,Community,6228,DCCED Commissioner Certified,2011
-149.2964457,61.5911199400001,Lakes,CDP,Place of Interest,8364,DOLWD Estimate,2011
-154.9061,59.7547000000001,Iliamna,CDP,Community,109,DOLWD Estimate,2011
-149.6208307,61.51685582,Knik-Fairview,CDP,Community,14923,DOLWD Estimate,2011
-151.2969256,60.7345972300001,Nikiski,CDP,Community,4493,DOLWD Estimate,2011
-161.5822568,59.1182251700001,Goodnews Bay,2nd Class City,Community,246,DCCED Commissioner Certified,2011
-132.9777041,56.81669536,Kupreanof,2nd Class City,Community,27,DCCED Commissioner Certified,2011
-149.4411111,60.0725,Lowell Point,CDP,Community,80,DOLWD Estimate,2011
-144.0493401,63.65559219,Dot Lake Village,Unincorporated CDP,Place of Interest,62,DOLWD Estimate,2011
-166.4922015,65.3344880500001,Brevig Mission,2nd Class City,Community,414,DCCED Commissioner Certified,2011
-135.7390616,58.4133428700001,Gustavus,2nd Class City,Community,460,DCCED Commissioner Certified,2011
-151.6131147,59.81132569,Nikolaevsk,CDP,Community,318,DOLWD Estimate,2011
-145.5355408,68.12846168,Arctic Village,Unincorporated CDP,Community,152,DOLWD Estimate,2011
-133.6212106,56.3513641000001,Point Baker,Unincorporated CDP,Community,15,DOLWD Estimate,2011
-134.5808463,57.4995695000001,Angoon,2nd Class City,Community,466,DCCED Commissioner Certified,2011
-133.0960345,55.55450419,Klawock,1st Class City,Community,813,DCCED Commissioner Certified,2011
-132.99261,55.5286340000001,Klawock Lake,Unincorporated,Community,0,DOLWD Estimate,2011
-161.1648736,64.9306613100001,Koyuk,2nd Class City,Community,347,DCCED Commissioner Certified,2011
-132.957763,56.8109592000001,Petersburg,Home Rule City,Community,3030,DCCED Commissioner Certified,2011
-151.2986599,59.7254375000001,Fritz Creek,CDP,Community,1932,DOLWD Estimate,2011
-150.3783562,61.0350394000001,Point Possession,CDP,Place of Interest,3,DOLWD Estimate,2011
-131.573307,55.1260739100001,Metlakatla,Indian reservation organized under federal law,Community,1405,DOLWD Estimate,2011
-145.527782,62.1126684500001,Glennallen,Unincorporated CDP,Community,483,DOLWD Estimate,2011
-145.3018732,62.3018968100001,Gakona,Unincorporated CDP,Community,218,DOLWD Estimate,2011
-141.8001468,63.0105644400001,Northway Junction,Unincorporated CDP,Place of Interest,54,DOLWD Estimate,2011
-147.3971488,66.3603484600001,Beaver,Unincorporated CDP,Community,84,DOLWD Estimate,2011
-149.8191587,61.5522787300001,Big Lake,CDP,Community,3350,DOLWD Estimate,2011
-162.7288422,66.07667336,Deering,2nd Class City,Community,123,DCCED Commissioner Certified,2011
-149.4023031,60.1685445700001,Bear Creek,CDP,Community,1956,DOLWD Estimate,2011
-154.0995667,59.78824382,Pedro Bay,CDP,Community,42,DOLWD Estimate,2011
-171.7188264,63.7768845400001,Gambell,2nd Class City,Community,677,DCCED Commissioner Certified,2011
-151.8340149,59.7764369000001,Anchor Point,CDP,Community,1930,DOLWD Estimate,2011
-158.6190156,56.93007699,Port Heiden,2nd Class City,Community,101,DCCED Commissioner Certified,2011
-154.4366825,57.56248915,Karluk,CDP,Community,37,DOLWD Estimate,2011
-159.7718289,62.1984422,Holy Cross,2nd Class City,Community,176,DCCED Commissioner Certified,2011
-144.0667491,65.8266465400001,Circle,Unincorporated CDP,Community,104,DOLWD Estimate,2011
-151.0430362,61.1721485100001,Beluga,CDP,Place of Interest,20,DOLWD Estimate,2011
-161.4490947,60.91380831,Akiachak,Unincorporated CDP,Community,627,DOLWD Estimate,2011
-151.6751012,60.04305213,Ninilchik,CDP,Community,883,DOLWD Estimate,2011
-163.2870194,62.0318125700001,Pitkas Point,Unincorporated CDP,Community,109,DOLWD Estimate,2011
-148.5485005,65.5228139800001,Livengood,Unincorporated CDP,Place of Interest,13,DOLWD Estimate,2011
-174.2001988,52.1978076400001,Atka,2nd Class City,Community,58,DCCED Commissioner Certified,2011
-135.3750052,59.1599890900001,Mud Bay,CDP,Place of Interest,212,DOLWD Estimate,2011
-135.4431478,58.41682002,Excursion Inlet,CDP,Place of Interest,12,DOLWD Estimate,2011
-154.3280837,60.19602229,Port Alsworth,CDP,Community,159,DOLWD Estimate,2011
-143.6128541,70.1266124700001,Kaktovik,2nd Class City,Community,247,DCCED Commissioner Certified,2011
-153.2836713,57.21341891,Old Harbor,2nd Class City,Community,208,DCCED Commissioner Certified,2011
-164.5298469,62.7769473800001,Emmonak,2nd Class City,Community,796,DCCED Commissioner Certified,2011
-158.1058165,61.8704253700001,Crooked Creek,Unincorporated CDP,Community,105,DOLWD Estimate,2011
-145.2412838,66.5661669,Fort Yukon,2nd Class City,Community,598,DCCED Commissioner Certified,2011
-142.9237002,61.43287967,McCarthy,Unincorporated CDP,Community,28,DOLWD Estimate,2011
-141.2075972,64.7889396800001,Eagle,2nd Class City,Community,96,DCCED Commissioner Certified,2011
-142.0352638,62.05966564,Chisana,Unincorporated CDP,Place of Interest,0,DOLWD Estimate,2011
-165.4085599,64.49808969,Nome,1st Class City,Community,3695,DCCED Commissioner Certified,2011
-152.701315,66.55452803,Alatna,Unincorporated CDP,Community,37,DOLWD Estimate,2011
-149.1453354,61.64000731,Farm Loop,CDP,Place of Interest,1028,DOLWD Estimate,2011
-151.4527343,59.66696928,Kachemak,2nd Class City,Community,456,DCCED Commissioner Certified,2011
-148.4788125,61.79624012,Chickaloon,CDP,Community,272,DOLWD Estimate,2011
-154.8948002,59.72097095,Newhalen,2nd Class City,Community,189,DCCED Commissioner Certified,2011
-166.1928612,60.38649408,Mekoryuk,2nd Class City,Community,215,DCCED Commissioner Certified,2011
-156.6676467,58.6813712700001,King Salmon,CDP,Community,374,DOLWD Estimate,2011
-136.2297476,57.9606687,Pelican,1st Class City,Community,83,DCCED Commissioner Certified,2011
-154.7491854,59.4400057400001,Kokhanok,CDP,Community,170,DOLWD Estimate,2011
-163.0091377,69.7431228900001,Point Lay,CDP,Community,189,DOLWD Estimate,2011
-166.7342719,68.34808223,Point Hope,2nd Class City,Community,656,DCCED Commissioner Certified,2011
-152.8810386,58.0041020100001,Aleneva,CDP,Place of Interest,37,DOLWD Estimate,2011
-135.8958758,59.40043417,Klukwan,Unincorporated CDP,Community,95,DOLWD Estimate,2011
-151.7380029,59.93501064,Happy Valley,CDP,Community,593,DOLWD Estimate,2011
-144.6641875,62.5663622600001,Chistochina,Unincorporated CDP,Community,93,DOLWD Estimate,2011
-150.0108417,61.3551864900001,Point MacKenzie,CDP,Community,529,DOLWD Estimate,2011
-162.2764121,60.8572982700001,Atmautluak,Unincorporated CDP,Community,277,DOLWD Estimate,2011
-151.2488059,60.5590139000001,Kenai,Home Rule City,Community,7110,DCCED Commissioner Certified,2011
