Longitude,Latitude,Community,School,SchoolDistrict,Year,In_Cohort,Graduates,GraduationRate,K8Enrollment,HSEnrollment,TotalEnrollmentK12,Is_HighSchool,TotalTeacherCount,StudentTeacherRatio
-161.435797149,60.8122040480001,Kwethluk,Ket'acik/Aapalluk Memorial School,Lower Kuskokwim School District,2018,17,8,0.4706,194,66,260,Yes,17,16.65
-131.640136976,55.3474823760001,Ward Cove,Ketchikan Charter School,Ketchikan Gateway Borough School District,2018,,,,186,0,186,No,12,15.76
-131.677967669,55.3535714290001,Pennock Island,Ketchikan High School,Ketchikan Gateway Borough School District,2018,141,128,0.9078,0,590,590,Yes,38,15.9
-160.437291751,66.9717351510001,Kiana,Kiana School,Northwest Arctic Borough School District,2018,8,8,1.0,88,38,126,Yes,7,18.86
-156.756972119,71.300272168,Utqiagvik,Kiita Learning Community,North Slope Borough School District,2018,24,11,0.4583,0,30,30,Yes,3,10
-149.970500611,61.1573734950001,Anchorage,Kincaid Elementary,Anchorage School District,2018,,,,541,0,541,No,34,16.96
-162.316071525,55.060694052,King Cove,King Cove School,Aleutians East Borough School District,2018,6,6,1.0,54,29,83,Yes,12,7.83
-149.909463335,61.1127902270001,Anchorage,Klatt Elementary,Anchorage School District,2018,,,,407,0,407,No,32,14.14
-133.099070861,55.5535059970001,Klawock,Klawock City School,Klawock City School District,2018,12,8,0.6667,85,40,125,Yes,17,8.84
-135.895897028,59.4004381290001,Klukwan,Klukwan School,Chatham School District,2018,0,0,,18,2,20,Yes,4,5
-149.613858775,61.5407046930001,Point MacKenzie,Knik Elementary School,Matanuska-Susitna Borough School District,2018,,,,286,0,286,No,19,15.05
-156.88192979,66.908037892,Kobuk,Kobuk School,Northwest Arctic Borough School District,2018,1,1,1.0,33,4,37,Yes,5,8.2
-152.394541316,57.7931542170001,Womens Bay,Kodiak High School,Kodiak Island Borough School District,2018,158,142,0.8987,0,661,661,Yes,38,18.3
-152.391531807,57.793245256,Womens Bay,Kodiak Middle School,Kodiak Island Borough School District,2018,,,,456,0,456,No,28,17.63
-154.749185256,59.4400077710001,Kokhanok,Kokhanok School,Lake and Peninsula Borough School District,2018,,,,28,2,30,Yes,5,6.8
-157.285506579,59.7268040500001,Koliganek,Koliganek School,Southwest Region School District,2018,2,2,1.0,43,13,56,Yes,5,12.44
-163.554853436,63.0315940410001,Kotlik,Kotlik School,Lower Yukon School District,2018,11,6,0.5455,142,36,178,Yes,14,12.79
-162.583234459,66.901837157,Kotzebue,Kotzebue Middle/High School,Northwest Arctic Borough School District,2018,41,35,0.8537,149,174,323,Yes,27,13.28
-161.157204945,64.9320461400001,Koyuk,Koyuk-Malimiut School,Bering Strait School District,2018,7,7,1.0,67,29,96,Yes,11,10.55
-161.897225216,59.751584177,Quinhagak,Kuinerrarmiut Elitnaurviat,Lower Kuskokwim School District,2018,11,9,0.8182,168,56,224,Yes,13,18.7
-161.770558516,60.8021066650001,Bethel,Kuskokwim Learning Academy,Lower Kuskokwim School District,2018,30,8,0.2667,0,89,89,Yes,8,16.18
-163.157618071,59.8770977670001,Kwigillingok,Kwigillingok School,Lower Kuskokwim School District,2018,6,4,0.6667,77,39,116,Yes,8,17.21
-147.666817074,64.848320389,Fairbanks,Ladd Elementary,Fairbanks North Star Borough School District,2018,,,,485,0,485,No,33,15.18
-149.952293742,61.1853117250001,Anchorage,Lake Hood Elementary,Anchorage School District,2018,,,,337,0,337,No,29,14.74
-149.837299468,61.190932839,Anchorage,Lake Otis Elementary,Anchorage School District,2018,,,,418,0,418,No,33,15.71
-156.668766701,58.693502901,King Salmon,Lakeview Home School,Lake and Peninsula Borough School District,2018,1,0,0.0,3,4,7,Yes,1,70
-153.980578384,57.5374511370001,Larsen Bay,Larsen Bay School,Kodiak Island Borough School District,2018,0,0,,7,6,13,Yes,2,6.5
-149.384669139,61.6102991290001,Wasilla,Larson Elementary,Matanuska-Susitna Borough School District,2018,,,,373,0,373,No,26,15.38
-147.732246499,64.835882456,Goldstream,Lathrop High School,Fairbanks North Star Borough School District,2018,208,154,0.7404,0,1025,1025,Yes,53,19.34
-139.722787848,59.5465367020001,Yakutat,LEAD Correspondence,Yakutat School District,2018,0,0,,13,2,15,Yes,1,83.33
-156.857499646,59.112463206,Levelock,Levelock School,Lake and Peninsula Borough School District,2018,2,2,1.0,15,2,17,Yes,4,7.83
-162.676354762,60.342787517,Tuntutuliak,Lewis Angapak Memorial School,Lower Kuskokwim School District,2018,14,10,0.7143,101,54,155,Yes,10,16.3
-152.392141961,57.795130402,Kodiak,Main Elementary,Kodiak Island Borough School District,2018,,,,227,0,227,No,17,13.35
-159.053125932,58.982806312,Manokotak,Manokotak School,Southwest Region School District,2018,8,7,0.875,90,34,124,Yes,12,11.58
-151.232329378,60.5668812980001,Kenai,Marathon School,Kenai Peninsula Borough School District,2018,2,0,0.0,1,4,5,Yes,1,7.46
-162.087027965,61.8791419090001,Marshall,Marshall School,Lower Yukon School District,2018,5,3,0.6,90,29,119,Yes,8,14.88
