Longitude,Latitude,Community,Incorporation_Type,Area_Type,Borough_Census_Area,Population_2021,Road_Connection,Subsistence_Use,Essential_Air_Service,Environmentally_Threatened
-158.73284409,61.53637174,Napaimute,Unincorporated,Place of Interest,Bethel Census Area,0,No,Yes,No,No
-161.97262602,60.6943313400001,Napakiak,2nd Class City,Community,Bethel Census Area,361,No,Yes,No,Yes
-161.75319706,60.7082335600001,Napaskiak,2nd Class City,Community,Bethel Census Area,487,No,Yes,No,Yes
-133.20267814,55.86896699,Naukati Bay,Unincorporated CDP,Community,Prince of Wales-Hyder Census Area,137,No,Yes,No,No
-146.77891647,61.9898422000001,Nelchina,Unincorporated CDP,Community,Copper River Census Area,46,Yes,Yes,No,No
-161.20184982,56.0012060400001,Nelson Lagoon,CDP,Community,Aleutians East Borough,33,No,Yes,No,Yes
-149.09074136,64.56270921,Nenana,Home Rule City,Community,Yukon-Koyukuk Census Area,358,Yes,Yes,No,Yes
-152.65179399,66.539456,New Allakaket,Unincorporated CDP,Place of Interest,Yukon-Koyukuk Census Area,0,No,Yes,No,No
-157.31128856,59.4515508600001,New Stuyahok,2nd Class City,Community,Dillingham Census Area,480,No,Yes,Yes,Yes
-154.89480018,59.72097095,Newhalen,2nd Class City,Community,Lake and Peninsula Borough,178,No,Yes,No,Yes
-164.62941623,60.93686382,Newtok,Unincorporated CDP,Community,Bethel Census Area,193,No,Yes,No,Yes
-164.72996641,60.4799803000001,Nightmute,2nd Class City,Community,Bethel Census Area,304,No,Yes,No,Yes
-151.29692559,60.7345972300001,Nikiski,CDP,Community,Kenai Peninsula Borough,4443,Yes,No,No,No
-151.61311471,59.81132569,Nikolaevsk,CDP,Community,Kenai Peninsula Borough,343,Yes,No,No,No
-154.37521598,63.01373203,Nikolai,2nd Class City,Community,Yukon-Koyukuk Census Area,92,No,Yes,No,Yes
-168.86018348,52.9401089500001,Nikolski,Unincorporated CDP,Community,Aleutians West Census Area,42,No,Yes,Yes,Yes
-151.67510116,60.04305213,Ninilchik,CDP,Community,Kenai Peninsula Borough,844,Yes,No,No,Yes
-162.98850003,67.5718168000001,Noatak,CDP,Community,Northwest Arctic Borough,533,No,Yes,No,Yes
-165.40855986,64.49808969,Nome,1st Class City,Community,Nome Census Area,3524,No,Yes,No,Yes
-154.8575714,59.9678738700001,Nondalton,2nd Class City,Community,Lake and Peninsula Borough,129,No,Yes,No,Yes
-161.04682576,66.83334504,Noorvik,2nd Class City,Community,Northwest Arctic Borough,640,No,Yes,No,Yes
-149.310724,61.6183780000001,North Lakes,CDP,Place of Interest,Matanuska-Susitna Borough,9733,Yes,No,No,No
-147.35149648,64.7549026500001,North Pole,Home Rule City,Community,Fairbanks North Star Borough,2174,Yes,No,No,No
-141.93417861,62.9617709300001,Northway,Unincorporated CDP,Place of Interest,Southeast Fairbanks Census Area,234,Yes,Yes,No,No
-150.99901621,70.21731414,Nuiqsut,2nd Class City,Community,North Slope Borough,525,No,Yes,No,Yes
-158.10535466,64.7234193800001,Nulato,2nd Class City,Community,Yukon-Koyukuk Census Area,223,No,Yes,No,Yes
-164.85200389,62.5310651300001,Nunam Iqua,2nd Class City,Community,Kusilvak Census Area,216,No,Yes,No,Yes
-162.45740501,60.8972172800001,Nunapitchuk,2nd Class City,Community,Bethel Census Area,567,No,Yes,No,Yes
-166.38705327,60.1016582,Nunivak Island,Unincorporated,Place of Interest,Bethel Census Area,0,,No,No,No
-161.86539037,61.5672487300001,Ohogamiut,Unincorporated,Place of Interest,Kusilvak Census Area,0,No,Yes,No,No
-153.28367127,57.21341891,Old Harbor,2nd Class City,Community,Kodiak Island Borough,210,No,Yes,No,Yes
-149.87993996,70.4975517300001,Oliktok,Locality,Place of Interest,North Slope Borough,0,No,No,No,No
-156.52113197,63.14397275,Ophir,Unincorporated,Place of Interest,Yukon-Koyukuk Census Area,0,No,No,No,No
-161.77136517,60.7226475400001,Oscarville,Unincorporated CDP,Community,Bethel Census Area,75,No,Yes,No,Yes
-152.50398554,57.9232638,Ouzinkie,2nd Class City,Community,Kodiak Island Borough,114,No,Yes,No,Yes
-165.84116537,61.69961533,Paimiut,Unincorporated,Place of Interest,Kusilvak Census Area,0,No,Yes,No,No
-149.11775808,61.5997057600001,Palmer,Home Rule City,Community,Matanuska-Susitna Borough,5932,Yes,No,No,No
-162.69971497,54.4558662600001,Pauloff Harbor,Locality,Place of Interest,Aleutians East Borough,0,No,Yes,No,No
-145.49600069,63.0324502400001,Paxson,Unincorporated CDP,Community,Copper River Census Area,27,Yes,Yes,No,No
-154.09956667,59.78824382,Pedro Bay,CDP,Community,Lake and Peninsula Borough,40,No,Yes,No,Yes
-136.22974756,57.9606687,Pelican,1st Class City,Community,Hoonah-Angoon Census Area,92,No,Yes,Yes,No
-131.62990791,55.3211840600001,Pennock Island,Locality,Place of Interest,Ketchikan Gateway Borough,0,No,No,No,No
-159.14339251,55.91158561,Perryville,CDP,Community,Lake and Peninsula Borough,87,No,Yes,Yes,Yes
-149.44702422,61.4123162400001,Peters Creek,Locality,Place of Interest,Municipality of Anchorage,0,Yes,No,No,No
-150.76790264,62.4964964500001,Petersville,CDP,Community,Matanuska-Susitna Borough,28,Yes,Yes,No,No
-153.88450386,59.7801887900001,Pile Bay,Locality,Place of Interest,Lake and Peninsula Borough,0,No,No,No,No
-157.57733276,57.5642993500001,Pilot Point,2nd Class City,Community,Lake and Peninsula Borough,59,No,Yes,Yes,Yes
-162.88313585,61.9372025100001,Pilot Station,2nd Class City,Community,Kusilvak Census Area,609,No,Yes,No,Yes
-163.28701943,62.0318125700001,Pitkas Point,Unincorporated CDP,Community,Kusilvak Census Area,124,No,Yes,No,Yes
-161.81475033,59.00848275,Platinum,2nd Class City,Community,Bethel Census Area,59,No,Yes,No,Yes
-146.85516397,64.8777178500001,Pleasant Valley,CDP,Community,Fairbanks North Star Borough,599,Yes,Yes,No,No
-133.62121059,56.3513641000001,Point Baker,Unincorporated CDP,Community,Prince of Wales-Hyder Census Area,10,No,Yes,No,No
-166.73427192,68.34808223,Point Hope,2nd Class City,Community,North Slope Borough,879,No,Yes,No,Yes
-163.00913774,69.7431228900001,Point Lay,CDP,Community,North Slope Borough,308,No,Yes,No,Yes
-150.0108417,61.3551864900001,Point MacKenzie,CDP,Community,Matanuska-Susitna Borough,2087,Yes,Yes,No,No
-150.37835622,61.0350394000001,Point Possession,CDP,Place of Interest,Kenai Peninsula Borough,10,Yes,Yes,No,No
-155.54739837,64.09977795,Poorman,Unincorporated,Place of Interest,Yukon-Koyukuk Census Area,0,No,No,No,No
-154.49827348,59.55470038,Pope-Vannoy Landing,CDP,Place of Interest,Lake and Peninsula Borough,5,No,Yes,No,No
-134.64699558,56.2492376800001,Port Alexander,2nd Class City,Community,Prince of Wales-Hyder Census Area,61,No,Yes,Yes,No
-154.32808373,60.19602229,Port Alsworth,CDP,Community,Lake and Peninsula Borough,181,No,Yes,No,No
-166.84951599,65.2618559900001,Port Clarence,Unincorporated CDP,Place of Interest,Nome Census Area,0,No,Yes,No,No
-151.83172437,59.3515619300001,Port Graham,CDP,Community,Kenai Peninsula Borough,160,No,Yes,No,Yes
-158.61901559,56.93007699,Port Heiden,2nd Class City,Community,Lake and Peninsula Borough,91,No,Yes,Yes,Yes
-152.88344189,57.86662239,Port Lions,2nd Class City,Community,Kodiak Island Borough,170,No,Yes,Yes,Yes
-160.57551861,55.98767639,Port Moller,Locality,Place of Interest,Aleutians East Borough,0,No,No,No,No
-133.60721671,56.3223510700001,Port Protection,Unincorporated CDP,Community,Prince of Wales-Hyder Census Area,35,No,Yes,No,No
-152.58367032,58.4904418200001,Port William,Locality,Place of Interest,Kodiak Island Borough,0,No,Yes,No,No
-148.9852036,60.8320999700001,Portage,Locality,Place of Interest,Municipality of Anchorage,0,Yes,No,No,No
-157.71981375,58.9051910300001,Portage Creek,Unincorporated CDP,Place of Interest,Dillingham Census Area,4,No,Yes,No,Yes
-151.74113237,59.21271504,Portlock,Locality,Place of Interest,Kenai Peninsula Borough,0,Yes,No,No,No
-149.35258984,60.3576311800001,Primrose,CDP,Community,Kenai Peninsula Borough,89,Yes,Yes,No,No
-148.3372,70.2553,Prudhoe Bay,CDP,Place of Interest,North Slope Borough,1293,Yes,Yes,No,No
-151.45404303,59.67334192,Ptarmigan Heights,Locality,Community,Fairbanks North Star Borough,0,,No,No,No
-161.9006125,59.7514267400001,Quinhagak,2nd Class City,Community,Bethel Census Area,744,No,Yes,No,Yes
-149.82408258,61.0848208400001,Rabbit Creek,Locality,Place of Interest,Municipality of Anchorage,4166,Yes,No,No,No
-150.1718169,65.5033866300001,Rampart,Unincorporated CDP,Community,Yukon-Koyukuk Census Area,62,No,Yes,No,Yes
-151.08274455,59.8127242100001,Razdolna Village,Locality,Community,Kenai Peninsula Borough,0,Yes,No,No,No
-157.33465586,61.7822606500001,Red Devil,Unincorporated CDP,Community,Bethel Census Area,23,No,Yes,No,No
-162.85415523,68.07171169,Red Dog Mine,CDP,Place of Interest,Northwest Arctic Borough,5,No,Yes,No,No
-151.08107415,60.53130471,Ridgeway,CDP,Community,Kenai Peninsula Borough,2073,Yes,Yes,No,No
-155.48894931,64.7392281,Ruby,2nd Class City,Community,Yukon-Koyukuk Census Area,141,No,Yes,No,Yes
-161.32349606,61.78384234,Russian Mission,2nd Class City,Community,Kusilvak Census Area,420,No,Yes,No,Yes
-169.54528,56.6014257,Saint George,2nd Class City,Community,Aleutians West Census Area,68,No,Yes,No,Yes
-163.17516104,62.0514716000001,Saint Mary's,1st Class City,Community,Kusilvak Census Area,593,No,Yes,No,Yes
-162.03991035,63.47835158,Saint Michael,2nd Class City,Community,Nome Census Area,450,No,Yes,No,Yes
-170.28228831,57.1203994800001,Saint Paul,2nd Class City,Community,Aleutians West Census Area,391,No,Yes,No,Yes
-151.3334305,60.61773773,Salamatof,CDP,Community,Kenai Peninsula Borough,1060,Yes,Yes,No,No
-146.97720965,64.48242457,Salcha,CDP,Community,Fairbanks North Star Borough,983,Yes,No,No,No
-162.81368155,54.4805039500001,Sanak,Locality,Place of Interest,Aleutians East Borough,0,No,No,No,No
-160.49809006,55.34090243,Sand Point,1st Class City,Community,Aleutians East Borough,648,No,Yes,No,Yes
-170.4840268,63.6929776000001,Savoonga,2nd Class City,Community,Nome Census Area,810,No,Yes,No,Yes
-131.59761777,55.3189242300001,Saxman,2nd Class City,Community,Ketchikan Gateway Borough,346,No,No,No,Yes
-165.58157216,61.8428100100001,Scammon Bay,2nd Class City,Community,Kusilvak Census Area,577,No,Yes,No,Yes
-160.01011021,66.60439151,Selawik,2nd Class City,Community,Northwest Arctic Borough,780,No,Yes,No,Yes
-151.71857386,59.44059723,Seldovia,1st Class City,Community,Kenai Peninsula Borough,258,No,Yes,No,No
-151.64995402,59.4743452800001,Seldovia Village,CDP,Community,Kenai Peninsula Borough,201,No,Yes,No,No
-149.43922421,60.10312795,Seward,Home Rule City,Community,Kenai Peninsula Borough,2603,Yes,No,No,No
-159.53059767,62.6553703500001,Shageluk,2nd Class City,Community,Yukon-Koyukuk Census Area,100,No,Yes,No,Yes
-133.57130446,56.1508274600001,Shakan Bay,Unincorporated,Place of Interest,Prince of Wales-Hyder Census Area,0,No,No,No,No
-161.19435626,64.3545557,Shaktoolik,2nd Class City,Community,Nome Census Area,214,No,Yes,No,Yes
-166.07076445,66.25510533,Shishmaref,2nd Class City,Community,Nome Census Area,581,No,Yes,No,Yes
-157.13819049,66.8880443,Shungnak,2nd Class City,Community,Northwest Arctic Borough,244,No,Yes,No,Yes
-145.33214976,62.0110652400001,Silver Springs,Unincorporated CDP,Community,Copper River Census Area,104,Yes,Yes,No,No
-135.33862304,57.0490212600001,Sitka,Unified Home Rule Borough,Community,City and Borough of Sitka,8387,No,Yes,Yes,No
-151.20133552,61.9677230600001,Skwentna,CDP,Place of Interest,Matanuska-Susitna Borough,60,No,Yes,No,No
-143.96993915,62.7065704,Slana,Unincorporated CDP,Community,Copper River Census Area,105,Yes,Yes,No,No
-157.17040975,61.7026823800001,Sleetmute,Unincorporated CDP,Community,Bethel Census Area,89,No,Yes,No,Yes
-151.06585198,60.4904472100001,Soldotna,Home Rule City,Community,Kenai Peninsula Borough,4449,Yes,No,No,No
-164.44162838,64.5605626500001,Solomon,Unincorporated,Place of Interest,Nome Census Area,1,No,Yes,No,No
-149.315544,61.5875610000001,South Lakes,CDP,Place of Interest,Matanuska-Susitna Borough,5173,Yes,No,No,No
-157.00692435,58.71326678,South Naknek,CDP,Community,Bristol Bay Borough,61,No,Yes,Yes,Yes
-147.75923942,64.81107438,South Van Horn,CDP,Place of Interest,Fairbanks North Star Borough,512,Yes,Yes,No,No
-160.55117694,55.2413504,Squaw Harbor,Locality,Place of Interest,Aleutians East Borough,0,No,No,No,No
-162.2914977,63.52380972,Stebbins,2nd Class City,Community,Nome Census Area,622,No,Yes,No,Yes
-147.48814616,64.8923484100001,Steele Creek,CDP,Place of Interest,Fairbanks North Star Borough,6381,Yes,Yes,No,No
-150.79703641,60.5370290800001,Sterling,CDP,Community,Kenai Peninsula Borough,5998,Yes,No,No,No
-149.08443821,66.00452448,Stevens Village,Unincorporated CDP,Community,Yukon-Koyukuk Census Area,48,No,Yes,No,Yes
-156.58825541,61.7871601300001,Stony River,Unincorporated CDP,Community,Bethel Census Area,51,No,Yes,No,Yes
-149.42613053,60.88404712,Sunrise,CDP,Place of Interest,Kenai Peninsula Borough,14,Yes,Yes,No,No
-148.84811376,63.85383025,Suntrana,Locality,Place of Interest,Denali Borough,0,Yes,No,No,No
-150.63388448,61.49836623,Susitna,CDP,Community,Matanuska-Susitna Borough,10,No,Yes,No,No
-150.04359382,62.1312135000001,Susitna North,CDP,Place of Interest,Matanuska-Susitna Borough,1598,Yes,Yes,No,No
-148.8773404,61.7095915900001,Sutton-Alpine,CDP,Community,Matanuska-Susitna Borough,1024,Yes,Yes,No,No
-156.06195251,62.9879595200001,Takotna,Unincorporated CDP,Community,Yukon-Koyukuk Census Area,56,No,Yes,No,Yes
-150.11199934,62.32317025,Talkeetna,CDP,Community,Matanuska-Susitna Borough,1066,Yes,No,No,No
-143.35599738,63.3762792000001,Tanacross,Unincorporated CDP,Community,Southeast Fairbanks Census Area,138,Yes,Yes,No,Yes
-149.38484824,61.61025377,Tanaina,CDP,Place of Interest,Matanuska-Susitna Borough,8826,Yes,Yes,No,No
-152.0777034,65.17118315,Tanana,1st Class City,Community,Yukon-Koyukuk Census Area,231,No,Yes,No,Yes
-146.68172131,60.86848502,Tatitlek,Unincorporated CDP,Community,Chugach Census Area,81,No,Yes,Yes,Yes
-145.4120642,62.0473811800001,Tazlina,Unincorporated CDP,Community,Copper River Census Area,248,Yes,Yes,No,Yes
-153.2794001,63.38388646,Telida,Unincorporated,Place of Interest,Yukon-Koyukuk Census Area,3,No,Yes,No,No
-166.36520237,65.2629568300001,Teller,2nd Class City,Community,Nome Census Area,250,No,Yes,No,Yes
-135.22829141,57.7810313900001,Tenakee Springs,2nd Class City,Community,Hoonah-Angoon Census Area,122,No,Yes,No,No
-142.51969925,63.13803253,Tetlin,Unincorporated CDP,Community,Southeast Fairbanks Census Area,133,Yes,Yes,No,Yes
-134.32469777,58.26059675,Thane,Locality,Place of Interest,City and Borough of Juneau,0,No,No,No,No
-132.52282231,55.6854862600001,Thorne Bay,2nd Class City,Community,Prince of Wales-Hyder Census Area,456,No,Yes,No,No
-160.37879111,59.0605115000001,Togiak,2nd Class City,Community,Dillingham Census Area,807,No,Yes,No,Yes
-142.98776188,63.3358964400001,Tok,Unincorporated CDP,Community,Southeast Fairbanks Census Area,1263,Yes,Yes,No,No
-165.10723428,60.52954536,Toksook Bay,2nd Class City,Community,Bethel Census Area,612,No,Yes,No,Yes
-146.11291342,62.09714581,Tolsona,Unincorporated CDP,Community,Copper River Census Area,29,Yes,Yes,No,No
-145.17965735,61.66126868,Tonsina,Unincorporated CDP,Place of Interest,Copper River Census Area,53,Yes,Yes,No,No
-150.2337668,62.31623367,Trapper Creek,CDP,Community,Matanuska-Susitna Borough,497,Yes,No,No,No
-160.95646047,61.09868491,Tuluksak,Unincorporated CDP,Community,Bethel Census Area,424,No,Yes,No,Yes
-162.67635558,60.3427841600001,Tuntutuliak,Unincorporated CDP,Community,Bethel Census Area,485,No,Yes,No,Yes
-165.2513918,60.5861689800001,Tununak,Unincorporated CDP,Community,Bethel Census Area,396,No,Yes,No,Yes
-160.28060728,59.07512832,Twin Hills,Unincorporated CDP,Community,Dillingham Census Area,85,No,Yes,Yes,Yes
-147.03838828,64.8772855300001,Two Rivers,CDP,Community,Fairbanks North Star Borough,667,Yes,No,No,No
-151.14339542,61.06808705,Tyonek,CDP,Community,Kenai Peninsula Borough,151,No,Yes,No,Yes
-153.42115679,57.68276073,Uganik,Locality,Place of Interest,Kodiak Island Borough,0,,No,Yes,No
-157.399544,57.51228753,Ugashik,CDP,Place of Interest,Lake and Peninsula Borough,3,No,Yes,Yes,No
-152.13983366,69.37131343,Umiat,Locality,Place of Interest,North Slope Borough,0,No,No,No,No
-165.19426449,60.4979951400001,Umkumiute,Unincorporated,Place of Interest,Bethel Census Area,0,No,Yes,No,No
-160.79196516,63.87663037,Unalakleet,2nd Class City,Community,Nome Census Area,734,No,Yes,No,Yes
-166.53768178,53.8730924600001,Unalaska,1st Class City,Community,Aleutians West Census Area,4195,No,Yes,No,No
-160.5064,55.1828,Unga,Locality,Place of Interest,Aleutians East Borough,0,No,Yes,No,No
-160.31576292,61.5381853700001,Upper Kalskag,2nd Class City,Community,Bethel Census Area,203,No,Yes,No,Yes
-156.76100969,71.2893977300001,Utqiagvik,1st Class City,Community,North Slope Borough,4877,No,Yes,No,Yes
-154.00163761,57.6368061800001,Uyak,Locality,Place of Interest,Kodiak Island Borough,1,No,No,No,No
-146.35508078,61.13023788,Valdez,Home Rule City,Community,Chugach Census Area,3971,Yes,No,No,No
-146.4218093,67.0167170700001,Venetie,Unincorporated CDP,Community,Yukon-Koyukuk Census Area,185,No,Yes,No,Yes
-151.09658113,59.7942847800001,Voznesenka Village,Locality,Community,Kenai Peninsula Borough,0,Yes,Yes,No,No
-160.03223052,70.63853949,Wainwright,2nd Class City,Community,North Slope Borough,638,No,Yes,No,Yes
-168.09126024,65.60901955,Wales,2nd Class City,Community,Nome Census Area,142,No,Yes,No,Yes
-149.44420328,61.58209845,Wasilla,1st Class City,Community,Matanuska-Susitna Borough,9227,Yes,No,No,No
-133.12206307,56.11714153,Whale Pass,2nd Class City,Community,Prince of Wales-Hyder Census Area,84,No,Yes,No,No
-163.41049001,64.68127766,White Mountain,2nd Class City,Community,Nome Census Area,189,No,Yes,No,Yes
-145.89544905,64.1513819800001,Whitestone,Unincorporated CDP,Community,Southeast Fairbanks Census Area,141,No,Yes,No,No
-135.44221048,58.08906326,Whitestone Logging Camp,Unincorporated CDP,Place of Interest,Hoonah-Angoon Census Area,2,No,Yes,No,No
-148.68597259,60.7722882300001,Whittier,2nd Class City,Community,Chugach Census Area,260,Yes,Yes,No,No
-150.04551523,61.7440144400001,Willow,CDP,Community,Matanuska-Susitna Borough,2278,Yes,No,No,No
-145.1850849,61.7999571,Willow Creek,Unincorporated CDP,Place of Interest,Copper River Census Area,190,Yes,Yes,No,No
-150.1075,67.4100000000001,Wiseman,Unincorporated CDP,Place of Interest,Yukon-Koyukuk Census Area,5,Yes,Yes,No,No
-152.58227229,57.7055350000001,Womens Bay,CDP,Place of Interest,Kodiak Island Borough,736,No,No,No,No
-152.35739943,57.7792462300001,Woody Island,Locality,Place of Interest,Kodiak Island Borough,0,No,Yes,No,No
-132.3836088,56.470404,Wrangell,Unified Home Rule Borough,Community,City and Borough of Wrangell,2096,No,Yes,Yes,No
-139.75003244,59.5587609,Yakutat,Non-Unified Home Rule Borough,Community,City and Borough of Yakutat,697,No,Yes,Yes,Yes
