Longitude,Latitude,Community,Incorporation_Type,Area_Type,Borough_Census_Area,Population_2021,Road_Connection,Subsistence_Use,Essential_Air_Service,Environmentally_Threatened
-164.50713521,60.8188798400001,Mertarvik,Unincorporated CDP,Place of Interest,Bethel Census Area,71,No,Yes,No,No
-131.57330705,55.1260739100001,Metlakatla,Indian reservation organized under federal law,Community,Prince of Wales-Hyder Census Area,1403,No,Yes,No,No
-132.25626082,55.7392589,Meyers Chuck,Locality,Place of Interest,City and Borough of Wrangell,0,No,No,No,No
-151.4435797,59.6659190400001,Millers Landing,Locality,Place of Interest,Kenai Peninsula Borough,0,,No,No,No
-149.34826008,65.1521483400001,Minto,Unincorporated CDP,Community,Yukon-Koyukuk Census Area,156,Yes,Yes,Yes,Yes
-147.15053014,64.70862307,Moose Creek,CDP,Community,Fairbanks North Star Borough,526,Yes,No,No,No
-149.36827705,60.4864352800001,Moose Pass,CDP,Community,Kenai Peninsula Borough,232,Yes,No,No,No
-136.0314547,59.44650625,Mosquito Lake,CDP,Place of Interest,Haines Borough,294,Yes,Yes,No,No
-131.53473777,55.2971708800001,Mountain Point,Locality,Place of Interest,Ketchikan Gateway Borough,0,No,No,No,No
-163.72627562,62.08954141,Mountain Village,2nd Class City,Community,Kusilvak Census Area,602,No,Yes,No,Yes
-135.37500524,59.1599890900001,Mud Bay,CDP,Place of Interest,Haines Borough,203,Yes,Yes,No,No
-143.01178595,62.37195602,Nabesna,Unincorporated CDP,Place of Interest,Copper River Census Area,1,Yes,Yes,No,No
-157.01991376,58.72821587,Naknek,CDP,Community,Bristol Bay Borough,464,No,Yes,No,No
-151.91992102,59.3544344900001,Nanwalek,CDP,Community,Kenai Peninsula Borough,244,No,Yes,No,Yes
