Year,District Enrollment,School District
2021,30,Tanana City Schoool District
2013,412,Unalaska City School District
2014,407,Unalaska City School District
2015,392,Unalaska City School District
2016,372,Unalaska City School District
2017,387,Unalaska City School District
2018,401,Unalaska City School District
2019,418,Unalaska City School District
2020,412,Unalaska City School District
2021,387,Unalaska City School District
2013,627,Valdez City School District
2014,604,Valdez City School District
2015,603,Valdez City School District
2016,631,Valdez City School District
2017,636,Valdez City School District
2018,651,Valdez City School District
2019,685,Valdez City School District
2020,686,Valdez City School District
2021,651,Valdez City School District
2013,393,Wrangell Public School District
2014,345,Wrangell Public School District
2015,275,Wrangell Public School District
2016,274,Wrangell Public School District
2017,274,Wrangell Public School District
2018,298,Wrangell Public School District
2019,308,Wrangell Public School District
2020,308,Wrangell Public School District
2021,182,Wrangell Public School District
2013,91,Yakutat School District
2014,92,Yakutat School District
2015,98,Yakutat School District
2016,73,Yakutat School District
2017,93,Yakutat School District
2018,81,Yakutat School District
2019,94,Yakutat School District
2020,101,Yakutat School District
2021,91,Yakutat School District
2013,260,Yukon Flats School District
2014,250,Yukon Flats School District
2015,240,Yukon Flats School District
2016,248,Yukon Flats School District
2017,244,Yukon Flats School District
2018,234,Yukon Flats School District
2019,211,Yukon Flats School District
2020,210,Yukon Flats School District
2021,202,Yukon Flats School District
2013,292,Yukon-Koyukuk School District
2014,305,Yukon-Koyukuk School District
2015,282,Yukon-Koyukuk School District
2016,306,Yukon-Koyukuk School District
2017,1694,Yukon-Koyukuk School District
2018,1774,Yukon-Koyukuk School District
2019,1923,Yukon-Koyukuk School District
2020,1933,Yukon-Koyukuk School District
2021,4160,Yukon-Koyukuk School District
2013,434,Yupiit School District
2014,430,Yupiit School District
2015,456,Yupiit School District
2016,460,Yupiit School District
2017,458,Yupiit School District
2018,436,Yupiit School District
2019,446,Yupiit School District
2020,463,Yupiit School District
2021,506,Yupiit School District
